ID;YearStart;YearEnd;Description;LocationAbbr;LocationDesc;DataSource;Class;Topic;Question;Response;Data_Value_Unit;DataValueTypeId;Data_Value_Type;Data_Value;Data_Value_Footnote_Symbol;Data_Value_Footnote;Low_Confidence_Limit;High_Confidence_Limit;GeoLocation_Lat;GeoLocation_Long;ClassId;TopicId;QuestionId;ResponseId;StratficationCategory1;StratificationCategoryId1;Stratification1;StratificationId1;StratificationCategory2;StratificationCategoryId2;Stratification2;StratificationId2;StratificationCategory3;StratificationCategoryId3;Stratification3;StratificationId3;DisplayOrder;FootnoteSymbol;FootnoteText;URL;FootnoteHeading
1040944;2019;2019;2019;US;United States;YRBSS;;Tobacco;Current cigarette smoking among youth;;%;CRDPREV;Crude Prevalence;6.0;;;5.0;7.2;;;;TOB;TOB1_1;;Overall;OVERALL;Overall;OVR;;;;;;;;;1;;;;
1040668;2019;2019;2019;AL;Alabama;YRBSS;;Tobacco;Current cigarette smoking among youth;;%;CRDPREV;Crude Prevalence;7.1;;;5.3;9.5;-86.63186076199969;32.84057112200048;;TOB;TOB1_1;;Overall;OVERALL;Overall;OVR;;;;;;;;;2;;;;
1040690;2019;2019;2019;AK;Alaska;YRBSS;;Tobacco;Current cigarette smoking among youth;;%;CRDPREV;Crude Prevalence;8.4;;;6.7;10.4;-147.72205903599973;64.84507995700051;;TOB;TOB1_1;;Overall;OVERALL;Overall;OVR;;;;;;;;;3;;;;
1041020;2019;2019;2019;AZ;Arizona;YRBSS;;Tobacco;Current cigarette smoking among youth;;%;CRDPREV;Crude Prevalence;5.3;;;4.3;6.4;-111.76381127699972;34.865970280000454;;TOB;TOB1_1;;Overall;OVERALL;Overall;OVR;;;;;;;;;4;;;;
1040703;2019;2019;2019;AR;Arkansas;YRBSS;;Tobacco;Current cigarette smoking among youth;;%;CRDPREV;Crude Prevalence;9.7;;;7.3;12.9;-92.27449074299966;34.74865012400045;;TOB;TOB1_1;;Overall;OVERALL;Overall;OVR;;;;;;;;;5;;;;
1041011;2019;2019;2019;CA;California;YRBSS;;Tobacco;Current cigarette smoking among youth;;%;CRDPREV;Crude Prevalence;;-0;No data available;;;-120.99999953799971;37.63864012300047;;TOB;TOB1_1;;Overall;OVERALL;Overall;OVR;;;;;;;;;6;;;;
1041022;2019;2019;2019;CO;Colorado;YRBSS;;Tobacco;Current cigarette smoking among youth;;%;CRDPREV;Crude Prevalence;5.3;;;3.8;7.3;-106.13361092099967;38.843840757000464;;TOB;TOB1_1;;Overall;OVERALL;Overall;OVR;;;;;;;;;7;;;;
1040749;2019;2019;2019;CT;Connecticut;YRBSS;;Tobacco;Current cigarette smoking among youth;;%;CRDPREV;Crude Prevalence;3.7;;;2.4;5.7;-72.64984095199964;41.56266102000046;;TOB;TOB1_1;;Overall;OVERALL;Overall;OVR;;;;;;;;;8;;;;
1040656;2019;2019;2019;DE;Delaware;YRBSS;;Tobacco;Current cigarette smoking among youth;;%;CRDPREV;Crude Prevalence;;-0;No data available;;;-75.57774116799965;39.008830667000495;;TOB;TOB1_1;;Overall;OVERALL;Overall;OVR;;;;;;;;;9;;;;
1040660;2019;2019;2019;DC;District of Columbia;YRBSS;;Tobacco;Current cigarette smoking among youth;;%;CRDPREV;Crude Prevalence;5.3;;;4.9;5.8;-77.036871;38.907192;;TOB;TOB1_1;;Overall;OVERALL;Overall;OVR;;;;;;;;;10;;;;
